Area,Item,Element,Year,Unit,Value
Algeria,"Meat, chicken, canned",Export Value,1978,1000 US$,
Bahrain,Offals Edibl Fresh,Import Value,1990,1000 US$,
Cyprus,Bovine Meat,Import Value,1999,1000 US$,12209.0
Guatemala,Manila fibre (abaca),Import Quantity,1987,tonnes,
Italy,Oilseeds nes,Import Quantity,2006,tonnes,1986.0
Netherlands,Grapes,Import Quantity,2001,tonnes,117648.0
Czechoslovakia,Offals Edibl Fresh,Export Quantity,1975,tonnes,80.0
Comoros,Cassava Equivalent,Export Value,1976,1000 US$,
Brazil,"Bran, wheat",Import Value,2008,1000 US$,1273.0
Cook Islands,"Flour, mustard",Import Quantity,1963,tonnes,
Norway,"Yoghurt, concentrated or not",Export Value,1991,1000 US$,0.0
Mauritius,Kiwi fruit,Import Quantity,1966,tonnes,
France,"Milk, whole dried",Export Quantity,2004,tonnes,140284.0
Jordan,Offals Edibl Fresh,Import Quantity,1975,tonnes,0.0
Iran (Islamic Republic of),"Cake, groundnuts",Export Value,1963,1000 US$,
Hungary,"Hides, cattle, wet salted",Import Quantity,1970,tonnes,24898.0
Turkey,"Apricots, dry",Export Value,1977,1000 US$,10336.0
Melanesia,Rapeseed,Import Value,1983,1000 US$,
Viet Nam,Cigarettes,Export Quantity,2007,tonnes,2281.0
Togo,"Oil, castor beans",Import Quantity,1977,tonnes,0.0
Kuwait,Milk Equivalent,Import Value,1981,1000 US$,87763.0
Sri Lanka,"Oil, cottonseed",Import Value,2006,1000 US$,0.0
"China, Hong Kong SAR",Pineapples canned,Import Quantity,1995,tonnes,9991.0
Iceland,Wafers,Export Value,2010,1000 US$,8.0
Syrian Arab Republic,Cabbages and other brassicas,Export Value,1999,1000 US$,2292.0
United Republic of Tanzania,"Meat, sheep",Import Quantity,1977,tonnes,0.0
Poland,Flax Fib+Tow+W,Import Value,1995,1000 US$,5855.0
Philippines,"Meat, cattle, boneless (beef & veal)",Export Quantity,1971,tonnes,
Iceland,"Juice, citrus, single strength",Export Value,1964,1000 US$,
Chile,Animal Oil+Fat+Grs,Import Quantity,1968,tonnes,8181.0
Latvia,"Offals, sheep,edible",Import Value,1999,1000 US$,
Suriname,Cassava dried,Import Quantity,1993,tonnes,
Yemen,Milk Condensed + Evaporated,Export Value,1980,1000 US$,137.0
Indonesia,Butter,Import Quantity,1977,tonnes,8000.0
Guatemala,"Eggs, hen, in shell",Export Value,1998,1000 US$,2138.0
Yemen,Alfalfa meal and pellets,Import Value,1973,1000 US$,
Aruba,"Bran, maize",Import Quantity,1966,tonnes,
Jordan,Cherries,Export Value,1984,1000 US$,16.0
Armenia,"Flour, cereals",Import Quantity,1994,tonnes,
Gabon,"Flour, mustard",Import Quantity,2004,tonnes,330.0
Democratic Republic of the Congo,Cotton linter,Export Value,2000,1000 US$,0.0
Malta,"Flour, wheat",Export Value,1986,1000 US$,206.0
Italy,"Cashew nuts, shelled",Import Quantity,1986,tonnes,234.0
Denmark,Vanilla,Export Quantity,1962,tonnes,0.0
Colombia,Animal Oil+Fat+Grs,Import Value,2011,1000 US$,26620.0
Lebanon,Ginger,Export Quantity,1985,tonnes,
New Caledonia,Soya sauce,Export Quantity,2004,tonnes,
Djibouti,"Milk, whole fresh cow",Import Quantity,1978,tonnes,800.0
Lebanon,Vetches,Export Value,1966,1000 US$,0.0
Ghana,"Nuts, nes",Export Quantity,1973,tonnes,
Saint Lucia,"Honey, natural",Import Quantity,1987,tonnes,1.0
Jamaica,Malt,Export Quantity,1971,tonnes,
Sri Lanka,"Whey, Pres+Concen",Export Quantity,1965,tonnes,
Zimbabwe,"Flour, roots and tubers nes",Import Quantity,1972,tonnes,0.0
Fiji,Olives preserved,Import Quantity,2002,tonnes,0.0
Congo,Butter,Import Value,2012,1000 US$,1060.0
China,"Brazil nuts, shelled",Export Value,2001,1000 US$,0.0
Ireland,"Juice, grapefruit, concentrated",Import Value,1985,1000 US$,0.0
Melanesia,Forage products,Import Value,1997,1000 US$,18.0
France,Milk Equivalent,Export Value,1982,1000 US$,1834577.0
United Arab Emirates,Oats rolled,Export Value,1973,1000 US$,
Malaysia,Pet food,Export Quantity,1994,tonnes,361.0
Belize,"Meat, beef and veal sausages",Import Value,2006,1000 US$,3.0
Cambodia,Oilseeds nes,Import Quantity,1983,tonnes,
Barbados,Coconuts,Import Value,1975,1000 US$,2.0
Russian Federation,Oilseeds nes,Export Quantity,2010,tonnes,1289.0
Sri Lanka,Barley,Import Quantity,1986,tonnes,260.0
Morocco,Tea,Import Quantity,1997,tonnes,35016.0
Sudan (former),Natural Rubber,Import Value,1963,1000 US$,180.0
Panama,"Tangerines, mandarins, clementines, satsumas",Export Value,1988,1000 US$,0.0
Burkina Faso,"Onions, shallots, green",Export Value,1976,1000 US$,83.0
Trinidad and Tobago,Bovine Meat,Import Quantity,1991,tonnes,7157.0
India,"Oil, rapeseed",Export Value,1975,1000 US$,210.0
Thailand,Pears,Export Quantity,2001,tonnes,19.0
Niger,Rice,Import Value,1966,1000 US$,138.0
Togo,"Meat, horse",Import Value,1970,1000 US$,
New Caledonia,"Juice, citrus, concentrated",Import Quantity,1989,tonnes,
Albania,Peaches and nectarines,Export Quantity,2002,tonnes,
Guyana,"Cereal preparations, nes",Import Value,1961,1000 US$,0.0
Egypt,Cider etc,Export Quantity,1991,tonnes,
Georgia,Wine,Export Quantity,1998,tonnes,15354.0
Barbados,Sweet corn prep or preserved,Export Value,2010,1000 US$,3.0
Cabo Verde,"Juice, pineapple",Import Quantity,1993,tonnes,50.0
Cyprus,Grapefruit (inc. pomelos),Export Value,2008,1000 US$,9760.0
Peru,"Cashew nuts, shelled",Import Value,1999,1000 US$,9.0
Qatar,"Skins, sheep, dry salted",Export Value,1961,1000 US$,
Iceland,"Cashew nuts, shelled",Import Value,2002,1000 US$,41.0
Melanesia,"Cocoons, unreelable & waste",Import Value,1977,1000 US$,
United Republic of Tanzania,"Sugar,Total (Raw Equiv.)",Export Quantity,1964,tonnes,643.0
Jordan,"Coconuts, desiccated",Import Value,2001,1000 US$,584.0
United Arab Emirates,"Meat, sheep",Import Value,1969,1000 US$,1643.0
Brazil,Onions,Export Value,1962,1000 US$,0.0
Saint Pierre and Miquelon,"Oil, groundnut",Import Value,1979,1000 US$,
Austria,"Flour, pulses",Import Quantity,1992,tonnes,36.0
Uruguay,"Meat, goat",Import Quantity,1990,tonnes,
Poland,"Meat, chicken, canned",Export Quantity,1969,tonnes,2478.0
Niger,"Meat, pig sausages",Import Quantity,2002,tonnes,5.0
Ukraine,"Bran, maize",Export Value,2003,1000 US$,2780.0
Latvia,"Meat, nes",Import Quantity,2013,tonnes,76.0
Lithuania,"Dregs from brewing, distillation",Import Value,1992,1000 US$,
Hungary,"Skins, sheep, wet salted",Export Quantity,1995,tonnes,28.0
"China, Hong Kong SAR","Juice, pineapple",Import Value,1973,1000 US$,0.0
India,"Tangerines, mandarins, clementines, satsumas",Export Quantity,1996,tonnes,22.0
Botswana,"Flour, roots and tubers nes",Export Value,1963,1000 US$,
Mexico,"Waters,ice etc",Import Quantity,2005,tonnes,17649.0
Belgium,Forage products,Export Value,2006,1000 US$,853.0
Morocco,Olives preserved,Import Value,1962,1000 US$,0.0
Malta,"Offals, liver duck",Import Quantity,1964,tonnes,
China,Milk Fresh,Export Value,1966,1000 US$,6.0
Aruba,Cabbages and other brassicas,Export Quantity,1980,tonnes,
Senegal,Cherries,Import Value,1973,1000 US$,
Italy,Apples,Import Quantity,1994,tonnes,33690.0
Romania,Lettuce and chicory,Export Value,1998,1000 US$,26.0
Argentina,"Cake, soybeans",Import Value,1997,1000 US$,146.0
Thailand,"Onions, dry",Export Quantity,1975,tonnes,926.0
Greece,"Oil, maize",Export Value,2000,1000 US$,182.0
Guatemala,Apricots,Import Value,2013,1000 US$,7.0
Uganda,"Groundnuts, shelled",Import Value,1965,1000 US$,
El Salvador,Quinces,Import Value,2004,1000 US$,3.0
Republic of Moldova,"Meat, horse",Export Quantity,2008,tonnes,0.0
Benin,"Spices, nes",Import Quantity,1991,tonnes,1.0
China,Triticale,Import Value,1971,1000 US$,
Republic of Korea,"Roots and tubers, nes",Import Value,1966,1000 US$,0.0
Congo,Sugar and Honey,Import Quantity,1986,tonnes,6381.0
Turkey,Cheese and Curd,Import Quantity,1987,tonnes,1278.0
Chad,"Wheat+Flour,Wheat Equivalent",Export Quantity,1993,tonnes,0.0
Lesotho,"Wheat+Flour,Wheat Equivalent",Export Quantity,1971,tonnes,1667.0
United States of America,Sorghum,Import Quantity,1993,tonnes,388.0
Guinea,Milk Dry,Export Quantity,1978,tonnes,
Canada,"Roots and tubers, nes",Export Value,1970,1000 US$,0.0
Paraguay,Copra,Import Quantity,1999,tonnes,
Bermuda,Plantains and others,Import Quantity,2007,tonnes,
Peru,"Potatoes, frozen",Export Quantity,1979,tonnes,0.0
Thailand,Tallow,Export Quantity,1992,tonnes,684.0
Georgia,"Meat, pork",Export Value,1995,1000 US$,24.0
Croatia,Chestnut,Import Quantity,2005,tonnes,427.0
Portugal,"Oil, vegetable origin nes",Export Quantity,1987,tonnes,3271.0
Yugoslav SFR,Canned Meat nes,Export Value,1986,1000 US$,52637.0
Ethiopia,Malt,Import Quantity,2006,tonnes,27135.0
Iceland,Cotton linter,Import Value,1990,1000 US$,
Malawi,Mushrooms and truffles,Import Quantity,2004,tonnes,3.0
USSR,Copra,Import Quantity,1966,tonnes,5600.0
Colombia,Crude materials,Import Value,1975,1000 US$,5454.0
Algeria,Milk Dry,Import Quantity,1983,tonnes,85649.0
Finland,Malt,Import Value,1996,1000 US$,4912.0
Estonia,Lard,Export Value,1998,1000 US$,407.0
United States of America,Asparagus,Export Value,1990,1000 US$,52627.0
Saint Kitts and Nevis,"Margarine, short",Import Quantity,2010,tonnes,443.0
Russian Federation,"Peas, green",Export Quantity,1994,tonnes,
India,"Oils, fats of animal nes",Import Quantity,1993,tonnes,0.0
Luxembourg,"Cocoa, butter",Import Value,2011,1000 US$,313.0
Tunisia,Oth Citrus Frt,Export Value,2007,1000 US$,3.0
Austria,"Eggs, dried",Export Value,1962,1000 US$,0.0
Chile,Almonds shelled,Import Value,1986,1000 US$,0.0
Oman,"Margarine, liquid",Import Value,1975,1000 US$,
Peru,Olives,Import Value,1961,1000 US$,42.0
Comoros,Pears,Import Quantity,1971,tonnes,
France,"Meat, cattle, boneless (beef & veal)",Import Quantity,1974,tonnes,12831.0
Fiji,Glucose and dextrose,Export Quantity,2011,tonnes,
Chile,Cigarettes,Export Quantity,1973,tonnes,0.0
Mongolia,Coconuts,Import Value,2012,1000 US$,0.0
Iran (Islamic Republic of),Cloves,Export Quantity,1976,tonnes,
Benin,Fodder & Feeding stuff,Import Value,1975,1000 US$,30.0
Brunei Darussalam,"Germ, maize",Import Quantity,2002,tonnes,0.0
Sri Lanka,Papayas,Export Quantity,1998,tonnes,3.0
Côte d'Ivoire,Pears,Import Quantity,2007,tonnes,0.0
Cambodia,"Tangerines, mandarins, clementines, satsumas",Export Value,1988,1000 US$,
Melanesia,"Cake, groundnuts",Import Value,1966,1000 US$,
Algeria,Cereals,Export Quantity,2011,tonnes,5.0
Syrian Arab Republic,"Tangerines, mandarins, clementines, satsumas",Import Quantity,1979,tonnes,6399.0
Uruguay,Malt,Export Quantity,1998,tonnes,188801.0
Bolivia (Plurinational State of),"Coconuts, desiccated",Import Quantity,2012,tonnes,627.0
Russian Federation,"Cereal preparations, nes",Import Quantity,1995,tonnes,
Bhutan,Tea,Export Quantity,1984,tonnes,
China,"Juice, citrus, single strength",Import Quantity,1980,tonnes,0.0
Venezuela (Bolivarian Republic of),"Chillies and peppers, green",Export Quantity,1993,tonnes,276.0
Mexico,Malt,Import Quantity,2008,tonnes,368233.0
Qatar,Coconuts,Export Quantity,1998,tonnes,
United Kingdom,Sesame seed,Export Quantity,2013,tonnes,343.0
Côte d'Ivoire,Cider etc,Import Value,1981,1000 US$,51.0
Czechoslovakia,"Oil, vegetable origin nes",Export Value,1990,1000 US$,2200.0
Malta,"Chillies and peppers, green",Export Quantity,1974,tonnes,
Honduras,Cucumbers and gherkins,Import Value,2009,1000 US$,49.0
Turkey,"Oil, castor beans",Export Quantity,1972,tonnes,0.0
Poland,"Butter, cow milk",Export Value,1985,1000 US$,611.0
Trinidad and Tobago,Molasses,Export Quantity,1992,tonnes,82.0
Bahamas,Cloves,Import Quantity,2012,tonnes,5.0
United Arab Emirates,Milk Equivalent,Export Quantity,1999,tonnes,18882.0
Portugal,Pineapples canned,Export Quantity,2009,tonnes,861.0
Israel,Tobacco,Import Quantity,1984,tonnes,6158.0
Argentina,Milk Dry,Export Value,1961,1000 US$,802.0
India,"Feed, vegetable products nes",Export Quantity,1961,tonnes,0.0
Libya,Silk,Import Value,2002,1000 US$,0.0
Netherlands,"Beans, dry",Export Value,1965,1000 US$,3734.0
Kuwait,"Juice, orange, concentrated",Export Quantity,1993,tonnes,
Guinea-Bissau,Maize,Export Quantity,2011,tonnes,0.0
Tunisia,"Meat, turkey",Import Value,1987,1000 US$,0.0
Faroe Islands,"Oils, fats of animal nes",Import Value,1972,1000 US$,17.0
Israel,"Juice, orange, concentrated",Export Value,1986,1000 US$,75363.0
Serbia,"Offals, sheep,edible",Export Value,2013,1000 US$,0.0
Bahamas,"Fructose and syrup, other",Import Quantity,1995,tonnes,0.0
Costa Rica,Apricots,Import Value,1963,1000 US$,
Saudi Arabia,"Cashew nuts, with shell",Import Quantity,2005,tonnes,998.0
United States of America,Eggplants (aubergines),Export Value,1993,1000 US$,6871.0
Namibia,"Juice, grapefruit, concentrated",Import Quantity,2007,tonnes,
Costa Rica,"Cigars, cheroots",Import Quantity,2004,tonnes,4.0
Cabo Verde,Tomatoes,Export Quantity,2007,tonnes,0.0
Suriname,Bovine Meat,Export Quantity,1987,tonnes,
Yemen,Pineapples canned,Import Quantity,1979,tonnes,4100.0
Iran (Islamic Republic of),"Peas, dry",Export Quantity,2001,tonnes,36.0
Syrian Arab Republic,"Cashew nuts, shelled",Import Quantity,1993,tonnes,
Hungary,"Nuts, prepared (exc. groundnuts)",Export Quantity,2004,tonnes,6131.0
Caribbean,Cloves,Export Value,1990,1000 US$,18.0
Cabo Verde,Total Meat,Import Value,1971,1000 US$,119.0
Lithuania,"Broad beans, horse beans, dry",Import Quantity,1995,tonnes,
Polynesia,Ovine Meat,Export Value,1965,1000 US$,
Trinidad and Tobago,"Oil, sesame",Export Quantity,2001,tonnes,0.0
Benin,Dairy Products+Eggs,Export Value,2007,1000 US$,221.0
Japan,"Hides, cattle, wet salted",Export Value,2004,1000 US$,10004.0
Turkey,Pet food,Export Value,1968,1000 US$,0.0
China,Molasses,Import Quantity,1999,tonnes,1823916.0
Antigua and Barbuda,Coffee Green+Roast,Import Quantity,1981,tonnes,4.0
Poland,Canned Meat nes,Export Quantity,2008,tonnes,104496.0
Belgium,Buckwheat,Export Value,2000,1000 US$,529.0
Israel,Cinnamon (canella),Export Value,1971,1000 US$,0.0
Thailand,Mushrooms and truffles,Export Quantity,1988,tonnes,2.0
Zambia,Asparagus,Import Value,2000,1000 US$,
Australia,Silk,Import Quantity,1978,tonnes,1.0
Belize,"Eggs, other bird, in shell",Import Quantity,1985,tonnes,
Republic of Moldova,Apples,Import Quantity,2004,tonnes,588.0
Paraguay,Oilseed Cake Meal,Export Value,1991,1000 US$,17592.0
Germany,Plums dried (prunes),Export Value,2000,1000 US$,2421.0
Tunisia,"Fat, cattle",Import Value,1993,1000 US$,0.0
Madagascar,Kiwi fruit,Import Quantity,1964,tonnes,
Ecuador,Tobacco,Export Value,1981,1000 US$,1134.0
Congo,"Flour, potatoes",Import Quantity,1963,tonnes,0.0
Seychelles,Pigmeat,Import Value,1963,1000 US$,17.0
Kenya,Ginger,Import Value,1963,1000 US$,0.0
Togo,"Brazil nuts, shelled",Export Value,1984,1000 US$,
Poland,"Meat, beef, preparations",Import Value,1977,1000 US$,0.0
El Salvador,"Oils, fats of animal nes",Export Value,1987,1000 US$,
Venezuela (Bolivarian Republic of),"Milk, skimmed cow",Export Quantity,1986,tonnes,
Slovakia,"Skins, sheep, with wool",Export Quantity,2002,tonnes,82.0
Republic of Moldova,Cereals,Export Quantity,1999,tonnes,342640.0
Guinea,Groundnuts Total Shelled,Export Value,1986,1000 US$,0.0
New Caledonia,"Juice, pineapple",Import Quantity,1969,tonnes,
Republic of Korea,"Fat, nes, prepared",Export Quantity,1967,tonnes,0.0
United States of America,"Margarine, liquid",Export Quantity,1982,tonnes,0.0
Nepal,"Juice, pineapple",Import Value,1976,1000 US$,
Angola,"Butter, cow milk",Export Value,1973,1000 US$,2.0
Sao Tome and Principe,Beer of barley,Export Value,1995,1000 US$,
Swaziland,Copra,Import Value,1964,1000 US$,0.0
Swaziland,"Cake, maize",Export Value,1971,1000 US$,
Nepal,Pepper (piper spp.),Import Quantity,1993,tonnes,300.0
Cameroon,Lactose,Import Value,1970,1000 US$,0.0
Sweden,"Brazil nuts, shelled",Import Value,1973,1000 US$,
Cameroon,"Meat, pig",Export Value,1973,1000 US$,187.0
New Caledonia,Glucose and dextrose,Export Value,2000,1000 US$,
Turkey,"Buttermilk, curdled, acidified milk",Import Quantity,1961,tonnes,0.0
Switzerland,"Sugar,Total (Raw Equiv.)",Import Value,1984,1000 US$,31310.0
Belize,Cigarettes,Import Value,1971,1000 US$,223.0
Paraguay,Milk Condensed + Evaporated,Import Value,1995,1000 US$,686.0
France,"Meat, goose and guinea fowl",Import Value,2001,1000 US$,8479.0
Occupied Palestinian Territory,Eggplants (aubergines),Import Quantity,1977,tonnes,100.0
Madagascar,Sweet corn prep or preserved,Export Quantity,1999,tonnes,
Brazil,"Oil, olive, virgin",Import Value,1993,1000 US$,40308.0
Armenia,"Milk, products of natural constituents nes",Import Quantity,1993,tonnes,
Guatemala,"Meat, duck",Export Quantity,2009,tonnes,1.0
China,"Hair, goat, coarse",Export Quantity,1988,tonnes,1345.0
Bahrain,"Coffee, green",Import Value,1976,1000 US$,637.0
Mauritania,"Olive Oil,Total",Import Quantity,2004,tonnes,25.0
Yugoslav SFR,Cereals,Import Quantity,1976,tonnes,884363.0
Iraq,Oth Citrus Frt,Import Value,2003,1000 US$,12.0
Trinidad and Tobago,"Beans, green",Export Value,2009,1000 US$,37.0
Aruba,"Oil, linseed",Import Value,1992,1000 US$,
Botswana,Vermouths & similar,Export Value,2005,1000 US$,0.0
Israel,"Milk, skimmed cow",Export Quantity,1967,tonnes,0.0
Albania,Asparagus,Import Quantity,2007,tonnes,0.0
Indonesia,Animal Oil+Fat+Grs,Import Quantity,1994,tonnes,975.0
Namibia,Vanilla,Export Value,1963,1000 US$,
Poland,"Skins, sheep, with wool",Import Quantity,1988,tonnes,4800.0
Mexico,Animal Vegetable Oil,Import Value,1970,1000 US$,11531.0
Belize,Olives preserved,Export Quantity,2012,tonnes,0.0
Namibia,"Cheese, whole cow milk",Import Value,2009,1000 US$,9500.0
French Polynesia,Pineapples,Import Quantity,1976,tonnes,
Greece,"Brazil nuts, shelled",Import Value,1971,1000 US$,0.0
The former Yugoslav Republic of Macedonia,Sesame seed,Export Value,2006,1000 US$,217.0
Belize,Chestnut,Import Value,1968,1000 US$,
Ecuador,Pastry,Export Quantity,1989,tonnes,0.0
Saudi Arabia,Onions,Export Value,1971,1000 US$,0.0
Zimbabwe,Fodder & Feeding stuff,Import Value,1985,1000 US$,359.0
The former Yugoslav Republic of Macedonia,"Flour, potatoes",Import Value,2001,1000 US$,90.0
Kuwait,Rye,Import Quantity,1991,tonnes,
Jordan,Animal Oil+Fat+Grs,Import Value,1973,1000 US$,200.0
Mongolia,"Nuts, nes",Import Value,1975,1000 US$,
Liberia,"Meat, dried nes",Import Value,1982,1000 US$,3664.0
Slovenia,"Wool, hair waste",Export Value,2006,1000 US$,0.0
Caribbean,"Milk, whole evaporated",Export Value,2013,1000 US$,765.0
Egypt,"Peas, dry",Export Quantity,2000,tonnes,6.0
Mozambique,Tobacco products nes,Export Value,2006,1000 US$,12.0
Namibia,"Meat, rabbit",Import Quantity,1965,tonnes,
Yemen,Soybeans,Import Value,1972,1000 US$,0.0
Dominican Republic,Malt,Export Quantity,2010,tonnes,19.0
Estonia,Almonds shelled,Export Value,2008,1000 US$,168.0
Austria,Dates,Import Value,1973,1000 US$,435.0
Italy,Olives preserved,Export Value,1985,1000 US$,1436.0
Samoa,Pastry,Export Quantity,1964,tonnes,0.0
Spain,"Flour, cereals",Import Value,1990,1000 US$,691.0
Tunisia,"Brazil nuts, shelled",Export Value,1968,1000 US$,
Kazakhstan,"Cigars, cheroots",Export Value,1994,1000 US$,
Italy,Soya sauce,Export Quantity,1973,tonnes,0.0
Italy,"Walnuts, with shell",Import Value,2004,1000 US$,31683.0
Nigeria,"Cashew nuts, with shell",Export Quantity,1990,tonnes,12415.0
Russian Federation,Textile Fibres,Import Value,2007,1000 US$,277848.0
Burundi,"Coconuts, desiccated",Import Quantity,1985,tonnes,
Saint Pierre and Miquelon,"Cocoa, powder & cake",Import Value,2002,1000 US$,0.0
Brunei Darussalam,Cheese and Curd,Export Quantity,2010,tonnes,0.0
Japan,"Olive Oil,Total",Import Quantity,1992,tonnes,4864.0
Japan,"Grain, mixed",Export Value,2012,1000 US$,0.0
Micronesia,Cauliflowers and broccoli,Import Quantity,1987,tonnes,
Mauritius,Copra,Export Quantity,1978,tonnes,0.0
Iran (Islamic Republic of),"Cheese, processed",Import Quantity,1972,tonnes,
Bolivia (Plurinational State of),"Meat, pork",Import Quantity,1989,tonnes,
Denmark,Garlic,Export Value,1997,1000 US$,23.0
Sweden,Beer of barley,Import Value,1967,1000 US$,8882.0
Greece,"Pyrethrum, extraction",Export Value,1975,1000 US$,0.0
Lesotho,Rice,Import Quantity,2008,tonnes,11000.0
United Kingdom,Plantains and others,Export Value,1993,1000 US$,
China,Lard,Export Value,1997,1000 US$,12146.0
Cameroon,Sweet corn prep or preserved,Export Value,1999,1000 US$,0.0
Uganda,Oranges,Export Quantity,1993,tonnes,
Sri Lanka,"Mangoes, mangosteens, guavas",Export Value,1963,1000 US$,0.0
Estonia,Crude materials,Import Quantity,1997,tonnes,
Mongolia,Dates,Import Quantity,1962,tonnes,
Venezuela (Bolivarian Republic of),Cherries,Import Quantity,1995,tonnes,72.0
Malta,Pineapples,Export Quantity,1978,tonnes,0.0
Nepal,Papayas,Import Quantity,1993,tonnes,
Sri Lanka,Asparagus,Import Value,1972,1000 US$,0.0
Uruguay,Fatty acids,Import Quantity,1984,tonnes,11.0
American Samoa,Oats rolled,Import Value,2002,1000 US$,1.0
Malaysia,"Cigars, cheroots",Import Value,1966,1000 US$,98.0
Hungary,Sweet corn prep or preserved,Import Quantity,1977,tonnes,0.0
Greece,"Coffee, husks and skins",Import Value,1970,1000 US$,
Senegal,Jute,Export Value,2005,1000 US$,
Bulgaria,"Feed, pulp of fruit",Export Value,2008,1000 US$,0.0
Papua New Guinea,"Whey, dry",Import Quantity,2004,tonnes,3.0
Lebanon,Bovine Meat,Import Value,1965,1000 US$,1649.0
Ethiopia,Soybeans,Export Value,2008,1000 US$,956.0
Gabon,Chick peas,Import Quantity,1970,tonnes,0.0
Uruguay,"Nutmeg, mace and cardamoms",Import Value,1969,1000 US$,2.0
Peru,Meat Sheep Fresh,Import Quantity,1981,tonnes,1354.0
Norway,Milk Equivalent,Export Value,1999,1000 US$,81708.0
Singapore,"Tobacco, unmanufactured",Export Value,1991,1000 US$,3373.0
Hungary,Other Meat,Import Value,1976,1000 US$,0.0
India,Fixed Vegetable Oils,Export Quantity,1974,tonnes,53886.0
Germany,"Meat, pork",Import Value,1970,1000 US$,12900.0
Hungary,"Oil, palm kernel",Export Value,1973,1000 US$,0.0
Samoa,Watermelons,Import Value,1977,1000 US$,
Samoa,Oranges+Tang+Clem,Export Quantity,1996,tonnes,
Nigeria,Cotton linter,Import Quantity,1987,tonnes,
Finland,"Yoghurt, concentrated or not",Import Quantity,2008,tonnes,26943.0
Morocco,Malt,Import Value,1990,1000 US$,840.0
Brazil,Tallow,Export Quantity,1978,tonnes,0.0
France,Fixed Vegetable Oils,Export Quantity,1968,tonnes,77248.0
Pakistan,Grapes,Import Quantity,2005,tonnes,25427.0
Panama,"Meat, rabbit",Import Value,1977,1000 US$,
Finland,"Flour, roots and tubers nes",Import Quantity,1986,tonnes,0.0
Cyprus,"Beans, dry",Export Value,1970,1000 US$,0.0
Sweden,"Cashew nuts, with shell",Export Quantity,2000,tonnes,1.0
Guyana,"Sugar,Total (Raw Equiv.)",Export Value,1989,1000 US$,91334.0
